"Data Source","World Development Indicators",

"Last Updated Date","2020-02-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.37560574","86.06919176","84.527591","78.97008684","76.82497587","78.16998663","75.40338818","72.77924343","78.99665105","73.25516892","74.48620936","72.04786271","73.0559213","78.38229648","77.40100618","","","",
"Angola","AGO","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.27677559","52.9285548","59.41811442","57.65277554","55.55617462","52.12799842","40.3695459","39.40857115","33.15676622","28.49826254","34.63727512","32.38171291","32.57001883","35.40424053","42.67658845","49.96444639","52.2201199","","","",
"Albania","ALB","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.61751264","63.30587951","64.11598815","60.04996228","54.37229865","52.46619292","52.01092696","54.37861088","50.45885651","42.59494274","48.01371626","48.59376329","52.98372431","55.15620186","55.68665466","56.68603795","57.98090142","","","",
"Andorra","AND","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.43164175","57.86107815","58.70114538","62.30104139","64.57189766","61.60491656","62.12405048","61.85796009","59.06482998","56.86586282","55.42727517","54.16752775","53.54517631","52.79743865","52.22083062","51.71395844","50.87020075","","","",
"Arab World","ARB","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.8900106945835","42.6233320020669","43.4207592835685","42.7327909077353","42.6209512030182","42.2505179274086","40.3833595402247","40.9078157449809","41.3648789149601","37.8184927950089","40.5881971299859","38.4822355875495","39.6021035598916","39.0594904164169","37.0831122414926","39.7670828122586","40.929187642557","","","",
"United Arab Emirates","ARE","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.16953942","22.98960323","38.77114783","38.72491793","42.89268742","43.1589391","42.69578249","41.3262963","36.08961121","26.31716535","29.14584026","27.57902646","27.45520828","28.02826424","29.02361599","28.74894452","27.52250041","","","",
"Argentina","ARG","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.23767162","45.08434012","45.39364658","45.09745501","45.78073473","47.55632425","46.5888554","43.91836869","40.19836222","36.76116719","34.99545324","31.97295129","26.54776486","24.91669142","22.50884141","21.40413838","25.00831672","","","",
"Armenia","ARM","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.93744555","65.03973132","67.17333226","70.52973484","79.09054253","72.55741853","63.11038067","61.83295137","59.37445808","54.99460504","62.82421266","47.50671776","72.70780952","79.72288644","83.67614773","82.99869096","81.84817906","","","",
"American Samoa","ASM","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
