"Data Source","World Development Indicators",

"Last Updated Date","2020-02-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.87314503","15.05413633","17.6891627","19.30543162","21.83109405","24.88946684","29.18148257","30.78890247","36.01279563","37.76542674","38.89558597","40.32342341","43.9159313","47.09899179","44.31111664","","","",
"Angola","AGO","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.53951581","13.0106924","14.38280781","16.84208482","23.22362287","22.83029761","21.28957058","26.2415538","29.27697627","18.58100444","18.69452215","21.97364594","21.53820102","30.67959693","35.40985396","36.43320095","33.52622452","","","",
"Albania","ALB","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.80701964","51.87673055","57.61355565","68.20713848","82.63530058","87.02388814","89.87259143","117.68173972","120.94181078","88.14802761","97.56730498","119.93123501","130.7333901","153.15167227","174.4446584","149.89806083","157.44310384","","","",
"Andorra","AND","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","982.15328544","987.08880758","1085.65799147","1416.6284647","1673.30260931","1785.59462522","1878.84805957","2076.06685245","2034.2167552","1823.38802602","1705.8567826","1782.16131684","1692.88829492","1777.68715558","1860.37083463","1567.57621759","1598.96323365","","","",
"Arab World","ARB","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.4526583781752","42.4046068398421","42.7441161986232","40.7297241442564","44.2952708070892","48.6138671339716","54.7443979062919","65.2661010064765","76.0621386911832","76.3190165138186","82.0492358519139","87.3931996042064","95.7207168945541","103.610376967037","105.47899474588","106.593895927314","105.868153975892","","","",
"United Arab Emirates","ARE","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","172.65197822","116.41565035","238.6196397","241.45457158","270.72693189","275.79884669","292.73751373","316.15154438","336.83907426","215.6543786","243.88723198","250.55397414","241.29840114","266.9974987","287.30704741","249.40635045","245.64157976","","","",
"Argentina","ARG","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","205.24354727","197.92926819","66.77300641","73.66724325","85.58005732","128.98419403","141.38601576","161.49187659","177.98850121","167.41741067","175.63767236","192.32477923","164.83573306","175.09869416","158.82157882","175.91610266","150.90443663","","","",
"Armenia","ARM","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.12193689","28.78296346","29.0809713","35.77934183","76.42382376","83.7408631","75.98292263","105.50790359","103.14372262","76.7962374","105.26281846","61.64738705","176.32556665","248.62646988","335.3634007","298.80555282","289.39494085","","","",
"American Samoa","ASM","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103.60037009","116.4055999","113.52741005","127.11977669","129.61724996","154.87725073","179.98652244","207.72613806","198.55212811","138.57592967","161.09649756","166.73573457","182.72936752","178.07491004","188.10582011","166.18732013","200.57050603","","","",
"Australia","AUS","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","342.76211966","318.47505371","351.33856847","429.09420741","529.97501922","590.097869","627.53536509","721.00265832","778.57414671","761.63871981","978.13745573","1126.74365019","1205.43280777","1151.06788063","1102.61056215","926.07219143","947.63238534","","","",
"Austria","AUT","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","403.40423127","421.05152231","462.75022952","582.57610021","692.592831","711.49198733","729.5957752","841.1697546","919.01477118","886.17972016","892.15513654","967.15976389","927.42575761","1003.39521698","1028.7088647","874.94544169","887.01025023","","","",
"Azerbaijan","AZE","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.18145613","19.73209572","21.96450891","44.1788448","64.31659512","100.46357656","117.61464248","140.05949104","173.78077361","198.8978378","216.13692792","252.2318507","278.60152546","310.95274398","338.09620375","294.36810507","211.62534879","","","",
"Burundi","BDI","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.50993248","3.45208755","3.26435061","2.98948927","3.48925633","4.45837244","5.74254585","6.45355759","6.51793538","6.84663326","7.37104277","6.34229297","4.84456175","4.59679743","6.1147559","5.97534201","5.63339988","","","",
"Belgium","BEL","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","563.86875519","589.10472942","583.5201494","628.84250148","739.2445251","805.28574406","794.54591654","774.38134486","845.67486641","786.31806426","839.29084043","841.75174969","673.47488682","658.04646725","","","",
"Benin","BEN","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.30968171","8.38988118","9.17066602","11.43033535","12.52203213","12.33458021","12.84092246","13.68275393","14.30666945","14.0970778","13.96442478","15.22975331","14.62719235","15.1297818","15.14126415","12.67316064","13.21956248","","","",
"Burkina Faso","BFA","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.17281728","3.29357237","3.33526075","3.92243523","5.36095224","5.55467989","6.58848743","7.66106376","9.22012729","9.93239217","10.23046381","11.46715022","11.29865015","14.68838914","13.49230011","12.07531744","12.85284066","","","",
"Bangladesh","BGD","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.07397784","5.28404327","5.64263593","6.21599528","6.71762907","7.29704306","7.78197635","9.13725482","10.2935758","11.68812934","13.56128539","14.92771117","15.34776867","17.71765679","20.16412941","22.86739048","24.59890058","","","",
"Bulgaria","BGR","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.15400848","52.37304568","58.95456691","74.50168036","91.38802304","104.06415449","125.42981713","153.85973502","194.19326779","203.77928443","209.12864583","247.15793351","266.73657098","283.49392975","305.29696035","272.68390118","293.70826711","","","",
"Bahrain","BHR","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125.26868099","122.94187035","129.39209578","178.64014063","170.06446913","160.77963488","160.2159312","208.99882324","206.27039081","222.61327908","226.63551971","228.97695942","260.31047616","286.90167333","288.19551153","291.67487694","307.68797479","","","",
"Bahamas, The","BHS","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","231.62912484","230.92021707","271.70660862","304.04185643","344.15830042","410.02402437","449.63225441","511.20562735","504.76660281","464.97734292","471.13338063","471.94517798","499.94758614","485.10232213","507.6288239","467.89612189","508.64959921","","","",
"Bosnia and Herzegovina","BIH","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.75095952","43.46514017","45.71328637","54.82037901","103.94286423","118.31869085","136.06418734","171.30349057","211.54627847","129.77449861","125.08066503","136.5941574","130.75814135","138.37165962","142.56217842","123.48913957","127.28241385","","","",
"Belarus","BLR","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.18559199","15.30231272","19.92739995","22.02258597","27.26672582","42.93041162","54.25655134","72.07262007","104.3589322","89.38110688","99.67877137","106.79517466","111.94423886","153.35769659","156.22234954","130.68432908","113.83851094","","","",
"Belize","BLZ","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.16020055","53.3758981","55.81489363","56.81269275","57.3728037","56.3406136","54.39437036","56.48325944","58.93880751","60.42767632","60.04203876","59.23594741","61.15217953","66.28779625","67.33125956","68.22844914","69.43649613","","","",
"Bermuda","BMU","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.25219397","14.68701759","14.57687863","14.66550408","14.88665741","15.82624165","17.62261197","18.96811958","22.99352434","26.01596854","32.21240382","37.37756845","44.35530222","54.42169859","53.22501696","51.1332496","59.68984135","","","",
"Brazil","BRA","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","114.04063698","101.35553888","88.75771479","88.86644866","104.10227228","137.51627967","166.16007985","198.51857569","217.42772597","224.09894773","477.83818207","555.33791594","539.38460864","549.908159","580.37847555","448.11255546","442.54344287","","","",
"Barbados","BRB","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","238.029348","237.29244498","244.94986621","283.10575471","309.91301167","330.93720436","357.17269235","377.62715298","396.22431972","416.27918415","417.97615767","483.12821332","491.62775006","523.15718225","523.18525691","523.9363736","525.79010081","","","",
"Brunei Darussalam","BRN","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.49152516","78.09709304","77.64017128","91.24716769","104.69199738","105.53084964","96.16772614","89.86045969","79.7506369","70.44321529","66.37942672","74.2503417","78.07381298","79.64505888","58.31295553","36.76593798","31.98295245","","","",
"Bhutan","BTN","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.67499511","2.91991474","3.78271735","7.22372805","7.60664243","7.91948589","8.00152899","9.16636228","8.72653949","9.62273118","11.50495038","12.17382685","16.42733233","16.64343105","17.42984753","18.03553968","18.38552473","","","",
"Botswana","BWA","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.81265568","19.37922415","17.04672622","20.71466356","20.73005274","18.11299902","15.01952963","13.4307306","13.99918321","16.55876355","19.60616562","21.79249127","25.12355918","20.50266369","21.21419493","20.48422331","19.94022985","","","",
"Central African Republic","CAF","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.83231297","4.69465457","4.94316359","5.93912668","6.54929924","6.57820702","6.65480929","7.28364423","7.83036345","7.7947044","7.75762298","8.39904488","8.10694371","7.96758002","7.54274179","6.58964275","7.04798051","","","",
"Canada","CAN","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331.87744218","327.18504409","342.17037345","389.14492326","445.39600458","504.52647994","587.68303258","641.19741691","675.95680913","644.72087397","765.85874973","778.36483808","780.0287566","766.83853113","732.18456058","651.18918269","651.67248276","","","",
"Central Europe and the Baltics","CEB","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.6811823678059","58.9449064547509","65.5107614670669","81.6499994950253","106.450353226843","118.972356432776","133.050557659875","167.72267124598","206.944193886275","187.811190146736","190.565243267579","207.771500619384","199.133860371618","208.423338445695","208.687107144824","187.221436087724","195.458571257802","","","",
"Switzerland","CHE","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1255.08062415","1294.49132478","1378.31793867","1639.92890511","1845.85206087","1807.73238183","1768.38990776","1903.86692491","2153.58195377","2191.57964466","2332.79775187","2730.4298123","2674.90399713","2746.85276899","2928.06975832","2851.74655073","2907.68387141","","","",
"Channel Islands","CHI","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","153.63098506","140.05002733","137.78576937","150.14284674","179.35181448","213.09789668","233.25955639","254.74635849","272.01279574","255.42562282","300.30384388","343.55700396","361.95909147","399.22030441","395.75181028","393.45201892","413.95317941","","","",
"China","CHN","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.46529257","28.20620346","31.09298777","34.02184993","37.43505932","41.74569796","45.79538522","50.13558156","62.89807958","71.1431311","76.59527976","95.80526951","111.2387638","125.23376567","132.26393295","137.84685947","143.02566618","","","",
"Cote d'Ivoire","CIV","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.31352839","17.51352703","15.61434067","21.24610794","26.5214361","30.11523475","34.40842865","42.48388093","46.59099697","44.85292232","43.56358626","44.20814593","40.41590951","41.07595284","41.34324649","27.17703696","27.12768263","","","",
"Cameroon","CMR","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.35725923","20.73036112","22.82031507","28.39160079","31.64224629","32.67404477","34.20256054","38.77069095","48.42335923","43.14031325","42.29906742","24.99732544","44.05977269","48.02985696","50.49565529","44.37678568","44.80645972","","","",
"Congo, Dem. Rep.","COD","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.15555015","4.23704098","3.21067987","4.419736","6.07086446","6.36697773","7.62120167","7.89676416","8.14327975","6.1648022","4.76371959","4.90823485","5.64840493","6.44201534","7.5043997","7.39299124","7.68059156","","","",
"Congo, Rep.","COG","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.91083943","9.16682154","10.21490863","12.97413777","15.09635129","15.96223047","17.45925784","20.62410573","23.89640201","24.56704356","23.37399422","24.94782145","21.68737666","22.51004197","22.59841071","18.97249073","34.98884572","","","",
"Colombia","COL","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.84410277","17.97597933","14.73408986","10.83901573","21.35123895","33.48963666","41.8896688","58.05332682","76.95395478","67.39725029","81.60277815","88.86729095","96.50335205","97.62560599","93.52795006","71.29194319","68.60731893","","","",
"Comoros","COM","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.40943873","36.24758033","38.04968911","45.55791633","50.04587204","50.04432156","50.39869906","54.8914569","58.64287058","55.51255861","52.82506598","55.33898524","51.04903033","52.63120348","52.48242414","43.79683988","43.14961187","","","",
"Cabo Verde","CPV","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.66979833","15.38272229","16.79746151","21.05368559","22.82601671","24.15427126","27.48091337","29.85915467","31.85738836","32.12883061","41.62655839","40.94049697","43.1213319","46.10120777","48.82767129","38.23922943","41.38167299","","","",
"Costa Rica","CRI","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.28247814","81.86105546","86.01867926","89.75270971","94.47717638","103.06459853","113.61288491","133.07145762","153.26367956","142.16096724","168.86951096","194.65284798","193.61910825","193.15746377","204.56122825","201.41805906","196.82947236","","","",
"Caribbean small states","CSS","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.8157444561936","92.0974226868373","92.7362573583808","100.079302093179","113.476560351225","124.982142004945","138.84335593424","165.866154288291","172.454807782771","168.461357352105","174.722068161724","181.45180312944","185.282668665869","188.244865062327","195.522789796892","191.672094031556","189.568617614841","","","",
"Cuba","CUB","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.28057843","36.99087707","41.28187579","46.09206764","45.39830288","49.11268827","55.08916114","55.62786726","53.75890581","54.60038263","55.70432887","74.91021477","78.4673558","86.53045473","82.51042176","93.80991774","100.05243996","","","",
"Curacao","CUW","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
